id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,periode_update,kategori,jumlah,satuan,tahun
178,1386,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2025,BERKEMBANG,18,DESA,2025
178,1387,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2025,MAJU,162,DESA,2025
178,1388,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2025,MANDIRI,145,DESA,2025
178,1389,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2025,SANGAT TERTINGGAL,0,DESA,2025
178,1390,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2025,TERTINGGAL,0,DESA,2025
179,1391,35,JAWA TIMUR,3575,KOTA PASURUAN,2025,BERKEMBANG,30,DESA,2025
179,1392,35,JAWA TIMUR,3575,KOTA PASURUAN,2025,MAJU,141,DESA,2025
179,1393,35,JAWA TIMUR,3575,KOTA PASURUAN,2025,MANDIRI,170,DESA,2025
179,1394,35,JAWA TIMUR,3575,KOTA PASURUAN,2025,SANGAT TERTINGGAL,0,DESA,2025
179,1395,35,JAWA TIMUR,3575,KOTA PASURUAN,2025,TERTINGGAL,0,DESA,2025
180,1396,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2025,BERKEMBANG,0,DESA,2025
180,1397,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2025,MAJU,60,DESA,2025
180,1398,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2025,MANDIRI,258,DESA,2025
180,1399,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2025,SANGAT TERTINGGAL,0,DESA,2025
180,1400,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2025,TERTINGGAL,0,DESA,2025
181,1401,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2025,BERKEMBANG,0,DESA,2025
181,1402,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2025,MAJU,0,DESA,2025
181,1403,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2025,MANDIRI,299,DESA,2025
181,1404,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2025,SANGAT TERTINGGAL,0,DESA,2025
181,1405,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2025,TERTINGGAL,0,DESA,2025
182,1406,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2025,BERKEMBANG,0,DESA,2025
182,1407,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2025,MAJU,85,DESA,2025
182,1408,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2025,MANDIRI,217,DESA,2025
182,1409,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2025,SANGAT TERTINGGAL,0,DESA,2025
